"","X","SOCIALNETW","CHECK","SOCIALNE_1","SOCIALNE_2","PERSON_WIT","SOCIALNE_3","NUMBER_OF_","RELATIONSH","GENDER","RELATION_1","LONG_LIST","SOCIALNE_4","SOCIALNE_5","SOCIALNE_6","SOCIALNE_7","UNIQUE","OBJECTID","FIELD1","ADDRESS","PRECISION","LAT","LON","ADDRESS_1","What.gender.do.you.identify.with.","gender_guess","relationship_gender","place_type"
"11",11,486,"Different from Google - needs to be re-geocoded",10064,NA,"Hanif (Boyfriend)","Boyfriend",6,"Romantic","M","Family","Tatyanna, Brandon, Jasmine, Hanif, Qianna, Brandi: city market, jalapenos on abercorn, planet fitness on hwy 17, applebees on abercorn.",NA,NA,"Place2","Jalapenos","Jalapeno's",152,152,"8840 Abercorn St #5, Savannah, GA 31406","7 E Broughton St, Savannah, GA 31401",32.041247,-81.009305,"107 Charlotte Rd A, Savannah, GA 31410, United States","Female","M","F-M","dentist"
"12",12,487,"Correct",10064,NA,"Hanif (Boyfriend)","Boyfriend",6,"Romantic","M","Family","Tatyanna, Brandon, Jasmine, Hanif, Qianna, Brandi: city market, jalapenos on abercorn, planet fitness on hwy 17, applebees on abercorn.",NA,NA,"Place3","Planet Fitness-Highway 17","Planet Fitness-Highway 17",269,269,"3609 Ogeechee Rd, Savannah, GA 31405, United States","Rooftop",32.051355,-81.144331,"3609 Ogeechee Rd, Savannah, GA 31405, United States","Female","M","F-M","primary, primary, primary, primary, primary, primary"
"13",13,488,"Correct",10064,NA,"Hanif (Boyfriend)","Boyfriend",6,"Romantic","M","Family","Tatyanna, Brandon, Jasmine, Hanif, Qianna, Brandi: city market, jalapenos on abercorn, planet fitness on hwy 17, applebees on abercorn.",NA,NA,"Place4","Applebees-Abercorn","Applebee's",99,99,"11120 Abercorn St, Savannah, GA 31419, United States","Rooftop",31.980385,-81.142868,"11120 Abercorn St, Savannah, GA 31419, United States","Female","M","F-M","house"
"14",14,926,"Correct",10072,NA,"Calvin (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"Calvin: Applebees on abercorn, carry hillards on waters ave, the tailgate sports bar on abercorn.",NA,NA,"Place1","Applebees-Abercorn","Applebee's",99,99,"11120 Abercorn St, Savannah, GA 31419, United States","Rooftop",31.980385,-81.142868,"11120 Abercorn St, Savannah, GA 31419, United States","Female","M","F-M","house"
"15",15,927,"Clio Updated",10072,NA,"Calvin (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"Calvin: Applebees on abercorn, carry hillards on waters ave, the tailgate sports bar on abercorn.",NA,NA,"Place2","Carry Hillards","Carey Hillard's",216,216,"11111 Abercorn St, Savannah, GA 31419, United States","Rooftop",31.97856,-81.143086,"11111 Abercorn St, Savannah, GA 31419, United States","Female","M","F-M","house"
"16",16,928,"Correct",10072,NA,"Calvin (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"Calvin: Applebees on abercorn, carry hillards on waters ave, the tailgate sports bar on abercorn.",NA,NA,"Place3","Tailgate Sports Bar & Grill","Tailgate Sports Bar & Grill",290,290,"11215 Abercorn St #2, Savannah, GA 31419, United States","Rooftop",31.980029,-81.145746,"11215 Abercorn St #2, Savannah, GA 31419, United States","Female","M","F-M","house"
"17",17,995,"Correct",10071,NA,"Avery (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"Avery: NCG Movies, Oglethorpe Mall, The bar bar, painting with a twist, restaurants on river st., top crab.",NA,NA,"Place1","NCG Cinema","NGC Cinema-Victory Drive",106,106,"3001 Skidaway Rd, Savannah, GA 31404, United States","Rooftop",32.037416,-81.066314,"3001 Skidaway Rd, Savannah, GA 31404, United States","Female","M","F-M","commercial"
"18",18,996,"Correct",10071,NA,"Avery (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"Avery: NCG Movies, Oglethorpe Mall, The bar bar, painting with a twist, restaurants on river st., top crab.",NA,NA,"Place2","Oglethorpe Mall","Oglethorpe Mall",12,12,"7804 Abercorn Extention, Savannah, GA 31406, United States","Site",32.004052,-81.115226,"7804 Abercorn Extention, Savannah, GA 31406, United States","Female","M","F-M",""
"19",19,997,NA,10071,NA,"Avery (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"Avery: NCG Movies, Oglethorpe Mall, The bar bar, painting with a twist, restaurants on river st., top crab.",NA,NA,"Place3","The Bar bar","The Bar Bar",0,0,NA,NA,32.080511,-81.094402,NA,"Female","M","F-M","administrative, administrative"
"20",20,998,"Correct",10071,NA,"Avery (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"Avery: NCG Movies, Oglethorpe Mall, The bar bar, painting with a twist, restaurants on river st., top crab.",NA,NA,"Place4","Painting with a Twist","Paint with a Twist",346,346,"107 Grand Central Blvd Ste 205, Pooler, GA 31322, United States","Rooftop",32.133954,-81.256191,"107 Grand Central Blvd Ste 205, Pooler, GA 31322, United States","Female","M","F-M",""
"21",21,999,"Correct",10071,NA,"Avery (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"Avery: NCG Movies, Oglethorpe Mall, The bar bar, painting with a twist, restaurants on river st., top crab.",NA,NA,"Place5","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","M","F-M","residential, attraction"
"22",22,1000,"Correct",10071,NA,"Avery (Boyfriend)","Boyfriend",NA,"Romantic","M",NA,"Avery: NCG Movies, Oglethorpe Mall, The bar bar, painting with a twist, restaurants on river st., top crab.",NA,NA,"Place6","Top Crab","Top Crab",159,159,"7201 Hodgson Memorial Dr Suite A, Savannah, GA 31406, United States","Rooftop",32.005454,-81.110087,"7201 Hodgson Memorial Dr Suite A, Savannah, GA 31406, United States","Female","M","F-M",""
"23",23,1201,"Correct",10088,NA,"Charles (Bf)","Boyfriend",NA,"Romantic","M",NA,"Charles: AMC, Restaurants downtown, on Abercorn and pooler, church downtown.",NA,NA,"Place1","AMC Cinema","AMC Classic - Savannah 11",120,120,"1150 Shawnee St, Savannah, GA 31420, United States","Rooftop",31.986729,-81.172229,"1150 Shawnee St, Savannah, GA 31420, United States","Female","M","F-M","cinema"
"24",24,1202,"Correct",10088,NA,"Charles (Bf)","Boyfriend",NA,"Romantic","M",NA,"Charles: AMC, Restaurants downtown, on Abercorn and pooler, church downtown.",NA,NA,"Place2","Downtown","Downtown",41,41,"104 E Harris St, Savannah, GA 31401, United States","Site",32.074679,-81.088261,"104 E Harris St, Savannah, GA 31401, United States","Female","M","F-M","house"
"25",25,1203,"Correct",10088,NA,"Charles (Bf)","Boyfriend",NA,"Romantic","M",NA,"Charles: AMC, Restaurants downtown, on Abercorn and pooler, church downtown.",NA,NA,"Place3","Abercorn Street
","Abercorn Street",306,306,"Abercorn St, Georgia, USA","Street",33.56569,-82.120675,"Abercorn St, Georgia, USA","Female","M","F-M","primary, tertiary, primary, trunk, primary, residential, residential, primary"
"26",26,1204,"Correct",10088,NA,"Charles (Bf)","Boyfriend",NA,"Romantic","M",NA,"Charles: AMC, Restaurants downtown, on Abercorn and pooler, church downtown.",NA,NA,"Place4","Pooler","Pooler",161,161,"Pooler, GA, USA","Site",32.11548,-81.24706,"Pooler, GA, USA","Female","M","F-M","administrative"
"27",27,1205,"Correct",10088,NA,"Charles (Bf)","Boyfriend",NA,"Romantic","M",NA,"Charles: AMC, Restaurants downtown, on Abercorn and pooler, church downtown.",NA,NA,"Place5","Compassion Christian Church Downtown Campus","Compassion Christian Church Downtown Campus",381,381,"611 W Jones St, Savannah, GA 31401, United States","Rooftop",32.074495,-81.102321,"611 W Jones St, Savannah, GA 31401, United States","Female","M","F-M","house, house"
"28",28,485,NA,10064,NA,"Hanif (Boyfriend)","Boyfriend",6,"Romantic","M","Family","Tatyanna, Brandon, Jasmine, Hanif, Qianna, Brandi: city market, jalapenos on abercorn, planet fitness on hwy 17, applebees on abercorn.",NA,NA,"Place1","Ciy Market","City Market",0,0,NA,NA,32.080833,-81.094296,NA,"Female","M","F-M","administrative, administrative"
"29",29,75,"Different from Google - needs to be re-geocoded",10043,NA,"Eric (Brother)","Brother",NA,"Other","M",NA,"Skippers, Bj's, Jesus First Church, home. She does not have much of an active social life.",NA,NA,"Place1","Skippers","Skippers",7,7,"51 Johnny Mercer Blvd, Savannah, GA 31410","Rooftop",31.368646,-81.437168,"85 Screven St, Darien, GA 31305, United States","Female","M","F-M","restaurant, bar"
"30",30,77,"Correct",10043,NA,"Eric (Brother)","Brother",NA,"Other","M",NA,"Skippers, Bj's, Jesus First Church, home. She does not have much of an active social life.",NA,NA,"Place3","Jesus First Church","Jesus First Church",249,249,"2202 US-80, Garden City, GA 31408, United States","Rooftop",32.08749,-81.172537,"2202 US-80, Garden City, GA 31408, United States","Female","M","F-M","house"
"31",31,99,"Correct",10048,NA,"Dee (Brothers)","Brother",NA,"Other","M",NA,"River street, Madams spot, Central areas around downtown savannah. Dinner at Grandmas house.",NA,NA,"Place1","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","M","F-M","residential, attraction"
"32",32,100,"Correct",10048,NA,"Dee (Brothers)","Brother",NA,"Other","M",NA,"River street, Madams spot, Central areas around downtown savannah. Dinner at Grandmas house.",NA,NA,"Place2","Madams Spot","Madam's Spot",151,151,"110 W Congress St, Savannah, GA 31401, United States","Rooftop",32.080148,-81.093138,"110 W Congress St, Savannah, GA 31401, United States","Female","M","F-M","house"
"33",33,101,"Correct",10048,NA,"Dee (Brothers)","Brother",NA,"Other","M",NA,"River street, Madams spot, Central areas around downtown savannah. Dinner at Grandmas house.",NA,NA,"Place3","Downtown Savannah","Downtown",250,250,"Savannah, GA, USA","Site",32.074679,-81.088261,"Savannah, GA, USA","Female","M","F-M","administrative"
"34",34,103,"Correct",10048,NA,"Zack (Brother)","Brother",NA,"Other","M",NA,"River street, Madams spot, Central areas around downtown savannah. Dinner at Grandmas house.",NA,NA,"Place1","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","M","F-M","residential, attraction"
"35",35,104,"Correct",10048,NA,"Zack (Brother)","Brother",NA,"Other","M",NA,"River street, Madams spot, Central areas around downtown savannah. Dinner at Grandmas house.",NA,NA,"Place2","Madams Spot","Madam's Spot",151,151,"110 W Congress St, Savannah, GA 31401, United States","Rooftop",32.080148,-81.093138,"110 W Congress St, Savannah, GA 31401, United States","Female","M","F-M","house"
"36",36,105,"Correct",10048,NA,"Zack (Brother)","Brother",NA,"Other","M",NA,"River street, Madams spot, Central areas around downtown savannah. Dinner at Grandmas house.",NA,NA,"Place3","Downtown Savannah","Downtown",250,250,"Savannah, GA, USA","Site",32.074679,-81.088261,"Savannah, GA, USA","Female","M","F-M","administrative"
"37",37,490,"Different from Google - needs to be re-geocoded",10064,NA,"Brandon (Brother)","Brother",6,"Other","M","Family","Tatyanna, Brandon, Jasmine, Hanif, Qianna, Brandi: city market, jalapenos on abercorn, planet fitness on hwy 17, applebees on abercorn.",NA,NA,"Place2","Jalapenos","Jalapeno's",152,152,"8840 Abercorn St #5, Savannah, GA 31406","7 E Broughton St, Savannah, GA 31401",32.041247,-81.009305,"107 Charlotte Rd A, Savannah, GA 31410, United States","Female","M","F-M","dentist"
"38",38,491,"Correct",10064,NA,"Brandon (Brother)","Brother",6,"Other","M","Family","Tatyanna, Brandon, Jasmine, Hanif, Qianna, Brandi: city market, jalapenos on abercorn, planet fitness on hwy 17, applebees on abercorn.",NA,NA,"Place3","Planet Fitness-Highway 17","Planet Fitness-Highway 17",269,269,"3609 Ogeechee Rd, Savannah, GA 31405, United States","Rooftop",32.051355,-81.144331,"3609 Ogeechee Rd, Savannah, GA 31405, United States","Female","M","F-M","primary, primary, primary, primary, primary, primary"
"39",39,492,"Correct",10064,NA,"Brandon (Brother)","Brother",6,"Other","M","Family","Tatyanna, Brandon, Jasmine, Hanif, Qianna, Brandi: city market, jalapenos on abercorn, planet fitness on hwy 17, applebees on abercorn.",NA,NA,"Place4","Applebees-Abercorn","Applebee's",99,99,"11120 Abercorn St, Savannah, GA 31419, United States","Rooftop",31.980385,-81.142868,"11120 Abercorn St, Savannah, GA 31419, United States","Female","M","F-M","house"
"40",40,519,"Correct",10065,NA,"Dee (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place1","Downtown","Downtown",41,41,"104 E Harris St, Savannah, GA 31401, United States","Site",32.074679,-81.088261,"104 E Harris St, Savannah, GA 31401, United States","Male","M","M-M","house"
"41",41,520,"Correct",10065,NA,"Dee (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place2","The Chart House","The Chart House",182,182,"202 W Bay St, Savannah, GA 31401, United States","Rooftop",32.082242,-81.09335,"202 W Bay St, Savannah, GA 31401, United States","Male","M","M-M","house, restaurant, house"
"42",42,521,"Correct",10065,NA,"Dee (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place3","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Male","M","M-M","residential, attraction"
"43",43,522,"Correct",10065,NA,"Dee (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place4","Broughton Street","Broughton Street",21,21,"W Broughton St, Savannah, GA 31401, USA","Street",32.079863,-81.094617,"W Broughton St, Savannah, GA 31401, USA","Male","M","M-M","tertiary"
"44",44,523,"Correct",10065,NA,"Dee (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place5","Bay Street","Bay Street",369,369,"Bay St, Savannah, GA 31401, USA","Street",32.081436,-81.093731,"Bay St, Savannah, GA 31401, USA","Male","M","M-M","primary, primary, primary, primary, primary, primary"
"45",45,524,"Correct",10065,NA,"Dee (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place6","Civic Center","Civic Center",370,370,"301 W Oglethorpe Ave, Savannah, GA 31401, United States","Site",32.076444,-81.096681,"301 W Oglethorpe Ave, Savannah, GA 31401, United States","Male","M","M-M","yes, house"
"46",46,525,"Correct",10065,NA,"Dee (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place7","Tybee Beach","Tybee Island / Beach",124,124,"Tybee Island, GA, USA","Site",32.00593,-80.855322,"Tybee Island, GA, USA","Male","M","M-M","administrative, island"
"47",47,526,"Correct",10065,NA,"Dee (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place8","First Mount Sinai Baptist Church","First Mount Sinai Baptist Church",407,407,"1604 Burroughs St, Savannah, GA 31415, United States","Rooftop",32.06257,-81.105031,"1604 Burroughs St, Savannah, GA 31415, United States","Male","M","M-M","house, house"
"48",48,527,"Different from Google - needs to be re-geocoded",10065,NA,"Dee (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place9","Live Christmas Trees","Live Christmas Trees",412,412,"207 E River St, Savannah, GA 31401, United States","Rooftop",32.002705,-81.077496,"6719 Skidaway Rd, Savannah, GA 31406, United States","Male","M","M-M","house"
"49",49,528,"Correct",10065,NA,"Zach (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place1","Downtown","Downtown",41,41,"104 E Harris St, Savannah, GA 31401, United States","Site",32.074679,-81.088261,"104 E Harris St, Savannah, GA 31401, United States","Male","M","M-M","house"
"50",50,529,"Correct",10065,NA,"Zach (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place2","The Chart House","The Chart House",182,182,"202 W Bay St, Savannah, GA 31401, United States","Rooftop",32.082242,-81.09335,"202 W Bay St, Savannah, GA 31401, United States","Male","M","M-M","house, restaurant, house"
"51",51,530,"Correct",10065,NA,"Zach (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place3","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Male","M","M-M","residential, attraction"
"52",52,531,"Correct",10065,NA,"Zach (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place4","Broughton Street","Broughton Street",21,21,"W Broughton St, Savannah, GA 31401, USA","Street",32.079863,-81.094617,"W Broughton St, Savannah, GA 31401, USA","Male","M","M-M","tertiary"
"53",53,532,"Correct",10065,NA,"Zach (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place5","Bay Street","Bay Street",369,369,"Bay St, Savannah, GA 31401, USA","Street",32.081436,-81.093731,"Bay St, Savannah, GA 31401, USA","Male","M","M-M","primary, primary, primary, primary, primary, primary"
"54",54,533,"Correct",10065,NA,"Zach (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place6","Civic Center","Civic Center",370,370,"301 W Oglethorpe Ave, Savannah, GA 31401, United States","Site",32.076444,-81.096681,"301 W Oglethorpe Ave, Savannah, GA 31401, United States","Male","M","M-M","yes, house"
"55",55,534,"Correct",10065,NA,"Zach (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place7","Tybee Beach","Tybee Island / Beach",124,124,"Tybee Island, GA, USA","Site",32.00593,-80.855322,"Tybee Island, GA, USA","Male","M","M-M","administrative, island"
"56",56,535,"Correct",10065,NA,"Zach (Brother)","Brother",4,"Other","M","Family","Lakeisha, Lee, Dee, Zach: Downtown savannah, the chart house, river street, Broughton street, Bay Street, civic center for concerts, Tybee beach, First Mount Sinai Baptist on Henry street, live Christmas trees.",NA,NA,"Place8","First Mount Sinai Baptist Church","First Mount Sinai Baptist Church",407,407,"1604 Burroughs St, Savannah, GA 31415, United States","Rooftop",32.06257,-81.105031,"1604 Burroughs St, Savannah, GA 31415, United States","Male","M","M-M","house, house"
"57",57,599,"Correct",10070,NA,"Louis (Brother)","Brother",NA,"Other","M",NA,"Louis: DTLR, Footlocker, Oglethorpe Mall.",NA,NA,"Place1","Oglethorpe Mall","Oglethorpe Mall",12,12,"7804 Abercorn Extention, Savannah, GA 31406, United States","Site",32.004052,-81.115226,"7804 Abercorn Extention, Savannah, GA 31406, United States","Female","M","F-M",""
"58",58,1339,"Correct",10098,NA,"Chris (Brother)","Brother",NA,"Other","M",NA,"Chris: Mall on abercorn, lake meyer on montgomery crossroads.",NA,NA,"Place1","Oglethorpe Mall","Oglethorpe Mall",12,12,"7804 Abercorn Extention, Savannah, GA 31406, United States","Site",32.004052,-81.115226,"7804 Abercorn Extention, Savannah, GA 31406, United States","Female","M","F-M",""
"59",59,1340,"Different from Google - needs to be re-geocoded",10098,NA,"Chris (Brother)","Brother",NA,"Other","M",NA,"Chris: Mall on abercorn, lake meyer on montgomery crossroads.",NA,NA,"Place2","Lake Meyer","Lake Mayer / Park",186,186,"1850 E Montgomery Cross Rd, Savannah, GA 31406, United States","Site",32.01838,-81.117206,"Lake Mayer, Savannah, GA 31406, USA","Female","M","F-M","pitch, place_of_worship"
"60",60,489,NA,10064,NA,"Brandon (Brother)","Brother",6,"Other","M","Family","Tatyanna, Brandon, Jasmine, Hanif, Qianna, Brandi: city market, jalapenos on abercorn, planet fitness on hwy 17, applebees on abercorn.",NA,NA,"Place1","Ciy Market","City Market",0,0,NA,NA,32.080833,-81.094296,NA,"Female","M","F-M","administrative, administrative"
"61",61,1191,"Different from Google - needs to be re-geocoded",10087,NA,"Prentice (Brother in Law)","Brother in Law",3,"Other","M","Family","Mary, Fannie, Prentice: Home, waffle house, pancake house on mall Blvd., jazz on Broughton, river street, top crab, Ruth Chris.",NA,NA,"Place2","Pancake House-Mall Boulevard","The Original Pancake House",232,232,"2002 Annapolis Mall Rd, Annapolis, MD 21401, United States","Rooftop",32.005454,-81.110087,"7201 Hodgson Memorial Dr B, Savannah, GA 31406, United States","Female","M","F-M",""
"62",62,1192,"Correct",10087,NA,"Prentice (Brother in Law)","Brother in Law",3,"Other","M","Family","Mary, Fannie, Prentice: Home, waffle house, pancake house on mall Blvd., jazz on Broughton, river street, top crab, Ruth Chris.",NA,NA,"Place3","Jazz on Broughton","Jazz on Broughton",305,305,"107 W Broughton St, Savannah, GA 31401, United States","Rooftop",32.079098,-81.093439,"107 W Broughton St, Savannah, GA 31401, United States","Female","M","F-M","yes"
"63",63,1193,"Correct",10087,NA,"Prentice (Brother in Law)","Brother in Law",3,"Other","M","Family","Mary, Fannie, Prentice: Home, waffle house, pancake house on mall Blvd., jazz on Broughton, river street, top crab, Ruth Chris.",NA,NA,"Place4","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","M","F-M","residential, attraction"
